"캠페인 보고서(2026.02.01.~2026.02.28.),1738680",,,,,,,,,,,
캠페인유형,캠페인,광고그룹,키워드,PC/모바일 매체,일별,노출수,클릭수,총비용,구매완료 전환수,구매완료 전환매출액(원),평균노출순위
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),리파아제효소,PC,2026.2.28,2,0,0,0,0,3.5
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗다이어트,PC,2026.2.21,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗프리미엄효소,PC,2026.2.25,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.1,1,0,0,1,77900,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.2,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.3,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.4,3,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.5,1,1,473,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.6,3,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.7,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.9,4,0,0,0,0,2.3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.10,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.11,2,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.12,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.13,4,0,0,0,0,2.3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.17,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.18,1,0,0,0,0,2
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.19,2,1,407,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.20,1,0,0,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.23,4,1,55,0,0,3
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.24,6,0,0,0,0,2.8
파워링크,#01.파워링크_브랜드키워드_자사몰,01. 프리미엄 효소 (PC),마이해빗효소,PC,2026.2.25,3,0,0,0,0,3
