account_id,channel,source,platform,campaign_name,group_name,keyword,creative,imagePath,device,date,impressions,clicks,cost,conversions,rank
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트,,,PC,2026-05-14,37,1,11478,0,3.9
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트,,,PC,2026-05-15,82,1,10934,0,5.1
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트,,,PC,2026-05-16,79,2,15851,0,1.5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트,,,PC,2026-05-18,81,1,11225,1,5.5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트,,,PC,2026-05-19,75,2,18006,0,6.3
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트,,,PC,2026-05-20,83,1,9441,0,6.1
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격,,,PC,2026-05-15,1,0,0,0,5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격,,,PC,2026-05-19,2,1,4118,0,4
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격,,,PC,2026-05-20,6,0,0,0,2.5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격비교,,,PC,2026-05-14,1,0,0,0,1
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격비교,,,PC,2026-05-15,3,0,0,0,6
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격비교,,,PC,2026-05-16,2,0,0,0,1.5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격비교,,,PC,2026-05-18,9,0,0,0,9.4
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격비교,,,PC,2026-05-19,3,0,0,0,10.3
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트가격비교,,,PC,2026-05-20,2,0,0,0,8
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트견적,,,PC,2026-05-15,2,0,0,0,8
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트견적,,,PC,2026-05-19,2,0,0,0,6
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트견적,,,PC,2026-05-20,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트견적비교,,,PC,2026-05-20,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트비교,,,PC,2026-05-15,3,0,0,0,7.7
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트비교,,,PC,2026-05-16,1,1,5316,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트비교,,,PC,2026-05-20,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트업체,,,PC,2026-05-14,2,0,0,0,3
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트업체,,,PC,2026-05-20,1,0,0,0,1
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트인수,,,PC,2026-05-18,1,0,0,0,5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카가격비교,,,PC,2026-05-16,2,0,0,0,1.5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카가격비교,,,PC,2026-05-18,2,0,0,0,4
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카가격비교,,,PC,2026-05-20,7,0,0,0,5.1
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적,,,PC,2026-05-14,1,0,0,0,4
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적,,,PC,2026-05-15,3,0,0,0,7
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적,,,PC,2026-05-16,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적,,,PC,2026-05-20,2,0,0,0,5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적비교,,,PC,2026-05-15,7,0,0,0,4.9
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적비교,,,PC,2026-05-16,4,0,0,0,2.5
